Node_name	Module
CDH1	EMT-related
HIF1A	EMT-related
MMP_f	EMT-related
PTK2	EMT-related
SNAI_f	EMT-related
TWIST1	EMT-related
APAF1	Pro-apoptotic
BAD	Pro-apoptotic
BAK1	Pro-apoptotic
BAX	Pro-apoptotic
BBC3	Pro-apoptotic
BID	Pro-apoptotic
CASP3	Pro-apoptotic
CASP8	Pro-apoptotic
CASP9	Pro-apoptotic
CYCS	Pro-apoptotic
DIABLO	Pro-apoptotic
FOXO_f	Pro-apoptotic
PPP1CA	Pro-apoptotic
BCL2	Anti-apoptotic
BIRC_f	Anti-apoptotic
CFLAR	Anti-apoptotic
MCL1	Anti-apoptotic
XIAP	Anti-apoptotic
ATF2	cAMP.response
CBPp300_c	cAMP.response
CREB1	cAMP.response
CREBBP	cAMP.response
CSK	cAMP.response
EP300	cAMP.response
PRKACA	cAMP.response
AURKA	CellCycle.Control
AURKB	CellCycle.Control
BUB1	CellCycle.Control
CDC25A	CellCycle.Control
CCNB1	CellCycle.Control
CCND1	CellCycle.Control
CCNE1	CellCycle.Control
E2F1	CellCycle.Control
MDM2	CellCycle.Control
PLK1	CellCycle.Control
SKP2	CellCycle.Control
CDKN1A	CellCycle.Inhibitors
CDKN1B	CellCycle.Inhibitors
CDKN2A	CellCycle.Inhibitors
RB1	CellCycle.Inhibitors
ATM	DNAdamage.response
ATR	DNAdamage.response
CHK1	DNAdamage.response
CHK2	DNAdamage.response
PRKDC	DNAdamage.response
TP53	DNAdamage.response
ABL1	DNArepair
BRCA1	DNArepair
MLH1	DNArepair
MSH2	DNArepair
RAD51	DNArepair
RAD52	DNArepair
GLI_f	Hedgehog
PTCH1	Hedgehog
SMO	Hedgehog
SUFU	Hedgehog
CSNK1D_E	HIPPO
LATS_f	HIPPO
MOB1_f	HIPPO
STK_f	HIPPO
YAP_TAZ	HIPPO
ILR_f	JAK/STAT
ISGF3_c	JAK/STAT
JAK_f	JAK/STAT
LIF	JAK/STAT
STAT1	JAK/STAT
STAT2	JAK/STAT
STAT3	JAK/STAT
PIAS1	JAK/STAT.NegativeRegulators
PTPN6	JAK/STAT.NegativeRegulators
SOCS1	JAK/STAT.NegativeRegulators
ITCH	JNK/p38
JNK_f	JNK/p38
MAP2K3	JNK/p38
MAP2K4	JNK/p38
MAP2K7	JNK/p38
MAP3K11	JNK/p38
MAP3K4	JNK/p38
MAP3K5	JNK/p38
MAP3K7	JNK/p38
MAP3K8	JNK/p38
MAPK14	JNK/p38
MAPK8IP3	JNK/p38
MAPKAPK2	JNK/p38
MSK_f	JNK/p38
DUSP1	JNK/p38
DUSP6	JNK/p38
SHC1	JNK/p38
CHUK	NFkB
DD_f	NFkB
IKBKB	NFkB
IRAK1	NFkB
NFKB_f	NFkB
REL_f	NFkB
TAB_f	NFkB
TRAF6	NFkB
ADAM17	NOTCH
HES1	NOTCH
NOTCH1	NOTCH
RBPJ	NOTCH
AKT_f	PI3K/AKT
GAB_f	PI3K/AKT
IRS1	PI3K/AKT
mTORC1_c	PI3K/AKT
mTORC2_c	PI3K/AKT
PDPK1	PI3K/AKT
PIK3CA	PI3K/AKT
RHEB	PI3K/AKT
RSK_f	PI3K/AKT
S6K_f	PI3K/AKT
AKT1S1	PI3K/AKT.NegativeRegulators
EGR1	PI3K/AKT.NegativeRegulators
PHLPP1	PI3K/AKT.NegativeRegulators
PTEN	PI3K/AKT.NegativeRegulators
TSC_f	PI3K/AKT.NegativeRegulators
PLCG1	PLCg/DAG
PRKCA	PLCg/DAG
PRKCD	PLCg/DAG
AP1_c	Proliferation/Growth.TFs
FOS	Proliferation/Growth.TFs
JUN	Proliferation/Growth.TFs
MYC	Proliferation/Growth.TFs
SRF	Proliferation/Growth.TFs
CDC42	RAC
ILK	RAC
PAK1	RAC
RAC_f	RAC
SRC	RAC
SYK	RAC
TIAM1	RAC
VAV1	RAC
ERK_f	RAS
GRB2	RAS
KRAS	RAS
MEK_f	RAS
PTPN11	RAS
RAF_f	RAS
RTPK_f	RAS
SOS1	RAS
ARHGAP24	RhoA
CFL_f	RhoA
DAAM1	RhoA
LIMK1	RhoA
LIMK2	RhoA
RHOA	RhoA
RND3	RhoA
ROCK1	RhoA
ACVR1	TGFb/BMP
BMPR2	TGFb/BMP
PARD6A	TGFb/BMP
SMAD1	TGFb/BMP
SMAD2	TGFb/BMP
SMAD3	TGFb/BMP
SMAD4	TGFb/BMP
SMAD5	TGFb/BMP
TGFB1	TGFb/BMP
TGFBR1	TGFb/BMP
TGFBR2	TGFb/BMP
PPM1A	TGFb/BMP.NegativeRegulators
SKI	TGFb/BMP.NegativeRegulators
SMAD6	TGFb/BMP.NegativeRegulators
SMAD7	TGFb/BMP.NegativeRegulators
SMURF1	TGFb/BMP.NegativeRegulators
SMURF2	TGFb/BMP.NegativeRegulators
CTNNB1	WNT
DVL_f	WNT
FZD_f	WNT
LEF1	WNT
LRP_f	WNT
TCF7_f	WNT
APC	WNT.NegativeRegulators
AXIN1	WNT.NegativeRegulators
BTRC	WNT.NegativeRegulators
CSNK1A1	WNT.NegativeRegulators
DKK_f	WNT.NegativeRegulators
GSK3_f	WNT.NegativeRegulators
NLK	WNT.NegativeRegulators
SFRP1	WNT.NegativeRegulators
