Flobak2015,CASCADE
RTPK,RTPK_f
SHC1,SHC1
GRB2,GRB2
SOS,SOS1
Ras,KRAS
Raf,RAF_f
MEK,MEK_f
ERK,ERK_f
DUSP6,DUSP6
TAK1,MAP3K7
MKK3,MAP2K3
ASK1,MAP3K5
TAB,TAB_f
p38alpha,MAPK14
DUSP1,DUSP1
MKK4,MAP2K4
MKK7,MAP2K7
MEKK4,MAP3K4
MLK3,MAP3K11
Rac,RAC_f
JNK,JNK_f
GRAP2,GRAP2
SHP2,PTPN11
GAB,GAB_f
IKKB,IKBKB
IKKA,CHUK
AKT,AKT_f
IRS1,IRS1
Caspase8,CASP8
PTENgene,PTEN_g
Caspase9,CASP9
FOXO,FOXO_f
TSC,TSC_f
pras40,AKT1S1
BCL2,BCL2
p53,TP53
Rheb,RHEB
mTORC1,mTORC1_c
PTEN,PTEN
BAD,BAD
mTORC2,mTORC2_c
MDM2gene,MDM2_g
S6K,S6K_f
MDM2,MDM2
CytochromeC,CYCS
BAX,BAX
NFkB,NFKB_f
MAP3K8,MAP3K8
PI3K,PIK3CA
PDK1,PDPK1
LRP,LRP_f
ITCH,ITCH
DKK1,DKK_f
Fz,FZD_f
Antisurvival,Antisurvival
Axin,AXIN1
GSK3,GSK3_f
RTPKgene,RTPK_g
RSK,RSK_f
MSK,MSK_f
CFLAR,CFLAR
CK1,CK1_f
Dvl,DVL_f
SFRP1,SFRP1
SFRP1gene,SFRP1_g
Caspase37,CASP3
betacatenin,CTNNB1
betaTrCP,BTRC
MMP,MMP_f
Egr1,EGR1
LEF,LEF
Prosurvival,Prosurvival
cMYC,MYC
TCF,TCF7_f
NLK,NLK
DKK1gene,DKK_g
CCND1,CCND1
